product_id,product,salesprice,salespricerrp,sizevalue,sizeunit,isWeighted,bcrs,country,category,labels
20016,Pears ( Peeled Prickley Pears ),4.95,4.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20027,Hericot Verts,3.74,3.74,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20070,Carrots Spaggetti Fresh,2.95,2.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20074,Chicken Hazelnut Ceaser,5.95,5.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20087,Barlotti Pears,4.95,4.95,1.0,kg,True,False,,fruitsandvegetables,Apples and Pears; Fruit; Fruits and Vegetables
20148,Vriesea Astrid,15.12,15.12,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
20174,Pear ( Prickly Pears ) Per Kg,3.45,3.45,1.0,p,True,False,,fruitsandvegetables,Apples and Pears; Fruit; Fruits and Vegetables
20234,Fic Beng Roy,12.79,12.79,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
20247,Doreoc Special Frites 2.5kg,2.95,2.95,0.0,,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20319,Vegetable Couscous,8.93,8.93,1.0,kg,True,False,Malta,fruitsandvegetables,Salads; Fruits and Vegetables
20382,Peperomia,11.42,11.42,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
20389,Fruit Salad Cups,2.25,2.25,1.0,p,False,False,,fruitsandvegetables,Salads; Other Pre-Packed Salads; Fruits and Vegetables
20405,Ger Colourgame Gem,5.1,5.1,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
20406,"White Grapes, 1kg",4.95,4.95,1.0,kg,True,False,,fruitsandvegetables,Fruit; Fruits and Vegetables; Grapes
20416,Dra Gem,19.34,19.34,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
20425,Pumpkin Qararotta,1.75,1.75,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
20428,Beef & Fagioli Soup 500ml,4.95,5.2,0.5,l,False,False,Malta,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20430,Apple & Ginger Juice 500ml,5.75,5.75,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20450,Chicken Katsu Baguette,5.45,5.72,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20454,"Papaya,mango & Dragon Fruit Platter",3.95,3.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20465,Ro Baby Jewel,6.69,6.69,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
20472,Kiwi Gold,8.0,8.0,1.0,kg,True,False,,fruitsandvegetables,Fruit; Kiwi; Fruits and Vegetables
20482,Coconut,1.65,1.65,1.0,p,False,False,,fruitsandvegetables,Fruit; Exotic Fruit; Fruits and Vegetables
20484,Aloe Vera,12.41,12.41,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
20491,Avocado Ready To Eat Per Piece,1.4,1.4,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20500,Naga Jolokia 80g,10.96,10.96,1.0,kg,True,False,,fruitsandvegetables,Fresh Green Vegetables; Fruits and Vegetables; Vegetables
20518,Swede Per Kg,2.69,2.69,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
20519,Wallnuts In Figs/dates/apricots,16.95,16.95,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
20553,Aubergines By Kg,3.24,3.24,1.0,p,True,False,,fruitsandvegetables,Aubergines; Fruits and Vegetables; Vegetables
20558,Spaghetti Squash Per Kg,4.7,4.7,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
20625,Cut Beans,12.63,12.63,1.0,kg,True,False,,fruitsandvegetables,Beans; Beans Peas and Sprouts; Fruits and Vegetables
20793,Red Watermelons Quarter,3.22,3.22,1.0,p,True,False,,fruitsandvegetables,Melons; Fruits and Vegetables; Vegetables
20820,Nettle Leaves 110g,4.12,4.12,0.11,kg,False,False,,fruitsandvegetables,Herbs Spices and Cubes; Herbs; Fruits and Vegetables
20932,Mixed Fruit Smoothie,2.95,2.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
20976,Ginger,6.8,6.8,1.0,p,True,False,,fruitsandvegetables,Ginger; Fruits and Vegetables; Vegetables
20984,Erica Darley White Perfect,4.78,4.78,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
