PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
2101696,Banana Smoothie,Fruits and Vegetables,Vegetables,Other Vegetables,,,2.95,2.95,Each,1.0,p,,Non Stock,,,No,0.0,A,2023-05-24T09:37:57.097,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2460212,Barlotti Pears,Fruits and Vegetables,Fruit,Apples and Pears,,,4.95,4.95,Each,1.0,kg,,Weighted,,,No,0.0,A,2021-12-23T15:04:04.79,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2460002,Basil,Fruits and Vegetables,Herbs Spices and Cubes,Herbs,,,1.45,1.45,Each,1.0,p,,Stock,,,No,0.0,A,2018-09-14T13:17:06.537,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0117/2460002.jpg,fruitsandvegetables
2460027,Basil In Pot,Fruits and Vegetables,Herbs Spices and Cubes,Herbs,Greens Products,,4.13,4.13,Each,1.0,p,,Stock,,,No,0.0,A,2022-04-19T16:16:50.45,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2460331,Beans ( Fresh Barlotti Beans ),Fruits and Vegetables,Vegetables,Weighted Vegetables,,,6.5,6.5,Each,1.0,kg,,Weighted,,,No,0.0,A,2020-10-19T11:59:13.777,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1159/2460331.jpg,fruitsandvegetables
2460352,Beans Edamame By Kg,Fruits and Vegetables,Vegetables,Weighted Vegetables,Greens Products,,11.76,11.76,Each,1.0,kg,,Weighted,,,No,0.0,A,2020-10-07T15:03:51.74,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0303/2460352.jpg,fruitsandvegetables
L34209386,Beaucarnea Recurvata,Fruits and Vegetables,Flowers,Flowers,,,34.47,34.47,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:36.643,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L32549282,Beaucarnea Recurvata,Fruits and Vegetables,Flowers,Flowers,,,24.44,24.44,Each,1.0,p,,Stock,,,No,0.0,A,2023-04-20T11:07:37.07,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209385,Beaucarnea Recurvata,Fruits and Vegetables,Flowers,Flowers,,,88.93,88.93,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:36.63,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L31840344,Beaucarnea Recurvata,Fruits and Vegetables,Flowers,Flowers,,,24.44,24.44,Each,1.0,p,,Stock,,,No,0.0,A,2023-03-09T14:40:34.237,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209384,Beaucarnea Recurvata,Fruits and Vegetables,Flowers,Flowers,,,31.72,31.72,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:36.63,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2101604,Beef & Bean Wrap,Fruits and Vegetables,Vegetables,Other Vegetables,,,5.45,5.72,Each,1.0,p,,Stock,,,No,0.0,A,2022-04-20T16:09:24.727,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2101643,Beef & Fagioli Soup 500ml,Fruits and Vegetables,Vegetables,Other Vegetables,,,4.95,5.2,Each,0.5,l,,Stock,,Malta,No,0.0,A,2022-10-24T16:05:14.5,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2101753,Beef Teriyaki Vermicelli,Fruits and Vegetables,Vegetables,Other Vegetables,,,7.5,7.5,Each,1.0,p,,Stock,,,No,0.0,A,2023-06-01T16:52:17.77,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
