PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,Image,scrape_tag
2481422,Usda Black Angus Rib Eye,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,69.8,69.8,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0412/2481422.jpg,butcher
2481573,Usda Braising,Butcher,Beef,Fresh Beef,,Refrigerated,16.5,16.5,Each,1.0,kg,Weighted,,USA,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2491570,Usda Brisket,Butcher,Beef,Fresh Beef,,Refrigerated,22.0,22.0,Each,1.0,kg,Weighted,,USA,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2481571,Usda Eye Round,Butcher,Beef,Fresh Beef,,Refrigerated,16.5,16.5,Each,1.0,kg,Weighted,,USA,No,https://www.greens.com.mt/media/products/0824/2481571.jpg,butcher
2481546,Usda Fillet,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,77.5,77.5,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0503/2481546.jpg,butcher
2481556,Usda Heart Rump,Butcher,Beef,Fresh Beef,,Refrigerated,22.5,22.5,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0512/2481556.jpg,butcher
2481545,Usda Sirloin,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,44.99,44.99,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480426,Veal Loin Ribs,Butcher,Beef,Fresh Beef,,Refrigerated,12.99,12.99,Each,1.0,kg,Weighted,,Italia,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480349,Veal Standing Rib,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,30.5,30.5,Each,1.0,kg,Weighted,500;1500;2000;2500;3000,Italia,No,https://www.greens.com.mt/media/products/0133/2480349.jpg,butcher
2480367,Veal Tagliata,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,16.8,16.8,Each,1.0,kg,Weighted,,Netherlands,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2481829,Whole Pheasants,Butcher,Other Butcher Items,Othe Fresh Butcher Items,,Refrigerated,14.95,14.95,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0132/2481829.jpg,butcher
2481842,Wild Boar Neck,Butcher,Other Butcher Items,Othe Fresh Butcher Items,,Refrigerated,22.27,22.27,Each,1.0,kg,Weighted,500;1000;1500;2000;2500;3000,Australia,No,https://www.greens.com.mt/media/products/0907/2481842.jpg,butcher
2481560,Y.b Rump Of Heart,Butcher,Beef,Fresh Beef,,Refrigerated,16.25,16.25,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/1206/2481560.jpg,butcher
5017400106619,American Ranch Breaded Chicken Goujons 500g,Butcher,Chicken,Frozen Chicken,,Refrigerated,4.25,4.75,Each,0.0,,Stock,,,No,https://www.greens.com.mt/media/products/0357/5017400106619.jpg,butcher
2480365,Angus Beef Burger,Butcher,Beef,Fresh Beef,,Refrigerated,11.8,11.8,Each,0.1,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/0216/2480365.jpg,butcher
2480808,Argentina Boneless Leg Of Lamb,Butcher,Lamb,Fresh Lamb,,Refrigerated,11.95,11.95,Each,1.0,kg,Weighted,,Argentina,No,https://www.greens.com.mt/media/products/0343/2480808.jpg,butcher
2481402,Argentina Fillet,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,49.99,49.99,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/1201/2481402.jpg,butcher
2481307,Argentinian Heart Of Rump (black Angus),Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,25.6,25.6,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/1059/2481307.jpg,butcher
2481306,Argentinian Sirloin (black Angus),Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,29.99,29.99,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0400/2481306.jpg,butcher
2481540,Australia Kobe Wagyu Ribeye Scotch Meat,Butcher,Beef,Fresh Beef,,Refrigerated,130.0,130.0,Each,1.0,kg,Weighted,,Australia,No,https://www.greens.com.mt/media/products/0259/2481540.jpg,butcher
2491569,Australian Angus Braising,Butcher,Beef,Fresh Beef,,Refrigerated,14.99,14.99,Each,1.0,kg,Weighted,,Australia,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
8050629009726,Avimecc Petto Di Pollo A Fette 400g,Butcher,Chicken,Fresh Chicken,,Refrigerated,6.45,7.74,Each,0.4,kg,Stock,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
8033803634020,Avimecc Pollo Di Fusi 450g,Butcher,Chicken,Fresh Chicken,,Refrigerated,3.9,4.68,Each,0.45,kg,Stock,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2490306,Back Bacon,Butcher,Bacon,Fresh Bacon,Greens Products,Refrigerated,10.31,10.31,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/0344/2490306.jpg,butcher
2481032,Bacon & Mozzarella Sausage,Butcher,Sausages,Fresh Sausages,,Refrigerated,8.99,8.99,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/0136/2481032.jpg,butcher
